img_id,img_filename,y,place,split
1,images/2360366.jpg,1,1,0
2,images/2399755.jpg,1,1,0
3,images/273.jpg,1,1,0
4,images/277.jpg,1,1,0
5,images/2354094.jpg,1,1,0
6,images/2335163.jpg,1,1,0
7,images/2352683.jpg,1,1,0
8,images/2332016.jpg,1,1,0
9,images/2328017.jpg,1,1,0
10,images/2395064.jpg,1,1,0
11,images/2365215.jpg,1,1,0
12,images/2316067.jpg,1,1,0
13,images/2413989.jpg,1,1,0
14,images/2416141.jpg,1,1,0
15,images/713226.jpg,1,1,0
16,images/2391746.jpg,1,1,0
17,images/2322851.jpg,1,1,0
18,images/2322859.jpg,1,1,0
19,images/107899.jpg,1,1,0
20,images/2410253.jpg,1,1,0
21,images/2332845.jpg,1,1,0
22,images/2344147.jpg,1,1,0
23,images/2348645.jpg,1,1,0
24,images/2348641.jpg,1,1,0
25,images/2359350.jpg,1,1,0
26,images/2316975.jpg,1,1,0
27,images/713328.jpg,1,1,0
28,images/2376305.jpg,1,1,0
29,images/2376300.jpg,1,1,0
30,images/713481.jpg,1,1,0
31,images/2331735.jpg,1,1,0
32,images/2399519.jpg,1,1,0
33,images/2335021.jpg,1,1,0
34,images/2326684.jpg,1,1,0
35,images/2321715.jpg,1,1,0
36,images/2337775.jpg,1,1,0
37,images/285798.jpg,1,1,0
38,images/2365918.jpg,1,1,0
39,images/2365911.jpg,1,1,0
40,images/2346018.jpg,1,1,0
41,images/2385496.jpg,1,1,0
42,images/2347377.jpg,1,1,0
43,images/2401794.jpg,1,1,0
44,images/2340213.jpg,1,1,0
45,images/2401791.jpg,1,1,0
46,images/2324129.jpg,1,1,0
47,images/2404053.jpg,1,1,0
48,images/2378913.jpg,1,1,0
49,images/2379352.jpg,1,1,0
50,images/2367401.jpg,1,1,0
51,images/2362372.jpg,1,1,0
52,images/2378008.jpg,1,1,0
53,images/2385704.jpg,1,1,0
54,images/2410648.jpg,1,1,0
55,images/2317574.jpg,1,1,0
56,images/2352495.jpg,1,1,0
57,images/2388392.jpg,1,1,0
58,images/2348334.jpg,1,1,0
59,images/2322467.jpg,1,1,0
60,images/2395565.jpg,1,1,0
61,images/305.jpg,1,1,0
62,images/2358724.jpg,1,1,0
63,images/2414859.jpg,1,1,0
64,images/1159930.jpg,1,1,0
65,images/2319467.jpg,1,1,0
66,images/2358095.jpg,1,1,0
67,images/2393242.jpg,1,1,0
68,images/2353849.jpg,1,1,0
69,images/107910.jpg,1,1,0
70,images/2355752.jpg,1,1,0
71,images/2374581.jpg,1,1,0
72,images/2383110.jpg,1,1,0
73,images/285808.jpg,1,1,0
74,images/1159974.jpg,1,1,0
75,images/2343715.jpg,1,1,0
76,images/1159391.jpg,1,1,0
77,images/2360512.jpg,1,1,0
78,images/2375044.jpg,1,1,0
79,images/2375048.jpg,1,1,0
80,images/2375049.jpg,1,1,0
81,images/2331949.jpg,1,1,0
82,images/2335259.jpg,1,1,0
83,images/2357678.jpg,1,1,0
84,images/3486.jpg,1,1,0
85,images/2329537.jpg,1,1,0
86,images/2380359.jpg,1,1,0
87,images/2408531.jpg,1,1,0
88,images/2408537.jpg,1,1,0
89,images/1721.jpg,1,1,0
90,images/2375774.jpg,1,1,0
91,images/2333861.jpg,1,1,0
92,images/2315426.jpg,1,1,0
93,images/2323534.jpg,1,1,0
94,images/2367307.jpg,1,1,0
95,images/2327442.jpg,1,1,0
96,images/2325971.jpg,1,1,0
97,images/2325975.jpg,1,1,0
98,images/2372558.jpg,1,1,0
99,images/2318193.jpg,1,1,0
100,images/2411370.jpg,1,1,0
101,images/2318194.jpg,1,1,0
102,images/2411081.jpg,1,1,0
103,images/2396926.jpg,1,1,0
104,images/2559.jpg,1,1,0
105,images/2410565.jpg,1,1,0
106,images/2345648.jpg,1,1,0
107,images/2341553.jpg,1,1,0
108,images/2341554.jpg,1,1,0
109,images/2341556.jpg,1,1,0
110,images/2349490.jpg,1,1,0
111,images/2349499.jpg,1,1,0
112,images/2372066.jpg,1,1,0
113,images/713771.jpg,1,1,0
114,images/2383489.jpg,1,1,0
115,images/2375285.jpg,1,1,0
116,images/2358116.jpg,1,1,0
117,images/2319381.jpg,1,1,0
118,images/2338301.jpg,1,1,0
119,images/2371421.jpg,1,1,0
120,images/2408734.jpg,1,1,0
121,images/3456.jpg,1,1,0
122,images/3457.jpg,1,1,0
123,images/3459.jpg,1,1,0
124,images/2396485.jpg,1,1,0
125,images/2416763.jpg,1,1,0
126,images/2404391.jpg,1,1,0
127,images/2367143.jpg,1,1,0
128,images/2398675.jpg,1,1,0
129,images/2376411.jpg,1,1,0
